Feature,Importance
TotalSF,0.4211340781584728
OverallQual,0.3602504043859508
GrLivArea,0.01696908181218802
HouseAge,0.014995619191705391
BsmtFinSF1,0.012069395119411028
TotalBathrooms,0.01183142533808609
LotArea,0.010817887078650515
GarageArea,0.010099803028381336
YearBuilt,0.010056746652647061
BsmtQual,0.009606677817273897
GarageCars,0.009486119215353715
RemodAge,0.00807990182118496
2ndFlrSF,0.00784249360888751
BsmtUnfSF,0.006685294484158108
YearRemodAdd,0.005463056944473474
LotFrontage,0.005002702992783247
TotRmsAbvGrd,0.004642264928431877
TotalBsmtSF,0.004547827735802416
OverallCond,0.00380243782904924
Neighborhood,0.0037523479950492167
OpenPorchSF,0.0036796405870401835
GarageYrBlt,0.0036334567068411817
KitchenQual,0.003359516815727619
WoodDeckSF,0.00326257776109879
1stFlrSF,0.0032066661254631125
MasVnrArea,0.0029393856135093493
CentralAir,0.0026744036945730775
Fireplaces,0.0026635117158941794
MoSold,0.002370058631711286
GarageType,0.0021397574852346636
ExterQual,0.0020621618769335417
BsmtExposure,0.0020306238879549254
FireplaceQu,0.0016301489238849192
SaleCondition,0.0015538139304572423
MasVnrType,0.0012847537900859357
YrSold,0.0012350106049662552
Exterior2nd,0.0012348533657230857
LotShape,0.0011978139309072702
Functional,0.0011898970077247068
MSSubClass,0.0011092007310692389
Exterior1st,0.001071576811084353
GarageFinish,0.0010549274485603566
LotConfig,0.0010482453357580786
BsmtFinType1,0.0010038233855423693
ScreenPorch,0.0009741043241894123
KitchenAbvGr,0.0008878078579517194
HouseStyle,0.0008595594883536672
RoofStyle,0.000848388167367477
BedroomAbvGr,0.0008085566443074474
LandContour,0.0007261417815296998
MSZoning,0.0006973341650468321
HeatingQC,0.0006331781552580654
RoofMatl,0.000567879890047627
Fence,0.0005522566302531781
LandSlope,0.000546978994718357
SaleType,0.0005417694260105963
BsmtFullBath,0.0005051796096656843
FullBath,0.00043100955448934283
HalfBath,0.00042798488336998313
GarageQual,0.00042779800791275456
Condition1,0.00042209557183894153
EnclosedPorch,0.0003880672229370902
GarageCond,0.0003701389549921106
Foundation,0.0003698074053225888
ExterCond,0.00030186657283488703
BsmtFinSF2,0.00028985706861703835
BldgType,0.0002768928339264345
BsmtFinType2,0.0002477032974915051
PavedDrive,0.00021614333089304188
BsmtCond,0.00021326900794014413
Heating,9.176573718602025e-05
BsmtHalfBath,8.968030112587728e-05
Alley,7.745171213630275e-05
HasGarage,7.690214889431111e-05
3SsnPorch,7.141900961123343e-05
Electrical,6.674527685390986e-05
PoolQC,6.073245183950169e-05
MiscVal,4.561107000803254e-05
LowQualFinSF,4.183144640870602e-05
MiscFeature,3.854871634192963e-05
Street,1.1768677617163206e-05
Condition2,8.40366468319571e-06
PoolArea,8.163722872950261e-06
HasBasement,7.685307867388589e-06
Utilities,1.29603601538558e-07
